               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  77,            0.036431,            0.043845,            0.016814,             0.84425,              0.7058,             0.82358,             0.59994,            0.028354,            0.020546,           0.0076162,           0.0095525,           0.0095525,           0.0095525
                  78,            0.036346,             0.04449,            0.016883,             0.82519,             0.73376,              0.8289,             0.60328,            0.028104,            0.020388,           0.0074606,           0.0095409,           0.0095409,           0.0095409
                  79,            0.036023,             0.04392,            0.016364,             0.82929,             0.73779,             0.83524,             0.61047,             0.02808,            0.020112,           0.0073079,           0.0095292,           0.0095292,           0.0095292
                  80,            0.035822,             0.04323,            0.016989,             0.83343,             0.73168,             0.83167,             0.60541,               0.028,            0.020431,           0.0073065,           0.0095173,           0.0095173,           0.0095173
                  81,            0.035963,            0.044912,            0.016322,             0.82653,             0.73432,             0.83593,             0.61179,            0.027832,            0.020206,           0.0070729,           0.0095052,           0.0095052,           0.0095052
                  82,            0.035544,            0.043718,            0.016204,             0.84611,             0.73992,             0.84606,              0.6208,            0.027652,            0.019907,           0.0068011,            0.009493,            0.009493,            0.009493
                  83,            0.035483,            0.042452,            0.016478,             0.84926,             0.74045,             0.84524,             0.61925,            0.027599,            0.019921,           0.0067035,           0.0094807,           0.0094807,           0.0094807
                  84,            0.035902,            0.043389,            0.015993,             0.84593,               0.741,             0.84566,             0.62138,              0.0276,            0.019832,           0.0067492,           0.0094683,           0.0094683,           0.0094683
                  85,            0.035974,            0.043961,            0.016158,             0.83591,             0.75093,             0.84733,             0.62282,            0.027471,            0.020001,           0.0067686,           0.0094557,           0.0094557,           0.0094557
                  86,            0.035802,            0.042673,            0.015803,             0.85243,             0.74982,             0.85494,             0.62998,            0.027262,            0.019657,           0.0064767,            0.009443,            0.009443,            0.009443
                  87,            0.035635,            0.042803,               0.016,             0.85266,             0.74851,             0.85341,             0.62939,            0.027178,            0.019667,           0.0064425,           0.0094301,           0.0094301,           0.0094301
                  88,            0.035506,            0.043141,               0.016,             0.84323,             0.76179,             0.85785,             0.63286,             0.02718,            0.019496,           0.0062241,           0.0094171,           0.0094171,           0.0094171
                  89,            0.035435,             0.04363,            0.015726,             0.85055,                0.76,             0.85893,             0.63351,             0.02701,            0.019467,           0.0060943,            0.009404,            0.009404,            0.009404
                  90,            0.035523,            0.043166,            0.016096,             0.84344,             0.76848,             0.85951,             0.63602,            0.026999,            0.019421,           0.0060304,           0.0093907,           0.0093907,           0.0093907
                  91,            0.035409,            0.042706,            0.015589,             0.84982,             0.76964,             0.86261,             0.64118,            0.026815,             0.01922,           0.0059352,           0.0093773,           0.0093773,           0.0093773
                  92,            0.035244,            0.042948,            0.015291,             0.85523,             0.77816,             0.86805,             0.64654,            0.026587,            0.018991,           0.0057429,           0.0093638,           0.0093638,           0.0093638
                  93,            0.035796,            0.042805,            0.015188,             0.87208,             0.77057,             0.87486,             0.65526,             0.02635,              0.0188,           0.0055815,           0.0093501,           0.0093501,           0.0093501
                  94,            0.035059,             0.04295,            0.014927,             0.84738,             0.79063,             0.87474,             0.65279,            0.026464,            0.018757,            0.005506,           0.0093363,           0.0093363,           0.0093363
                  95,            0.035002,            0.042423,            0.014986,              0.8835,             0.76562,             0.87536,             0.65648,            0.026345,            0.018687,           0.0054558,           0.0093224,           0.0093224,           0.0093224
                  96,            0.035163,            0.042115,             0.01493,             0.86595,             0.77867,             0.87675,             0.65855,             0.02629,            0.018676,           0.0053901,           0.0093083,           0.0093083,           0.0093083
                  97,            0.034813,            0.042453,            0.015741,              0.8699,             0.77745,             0.87721,             0.65952,            0.026112,            0.018586,           0.0053038,           0.0092941,           0.0092941,           0.0092941
                  98,            0.034958,            0.042073,            0.014968,             0.87823,             0.77773,             0.87978,             0.66095,            0.026007,            0.018574,           0.0051994,           0.0092798,           0.0092798,           0.0092798
                  99,            0.035431,            0.043059,            0.015147,             0.86058,             0.78453,             0.87977,             0.66368,            0.025928,            0.018499,           0.0051953,           0.0092654,           0.0092654,           0.0092654
                 100,            0.034527,            0.041789,            0.014909,             0.85903,             0.79377,             0.88337,             0.66668,            0.025877,            0.018454,           0.0051053,           0.0092508,           0.0092508,           0.0092508
                 101,            0.034655,            0.042281,            0.014635,             0.87122,             0.79556,             0.88761,             0.67023,            0.025704,            0.018258,           0.0050049,           0.0092361,           0.0092361,           0.0092361
                 102,            0.034662,            0.042032,             0.01445,             0.87734,             0.78951,             0.88718,             0.67043,            0.025651,            0.018241,           0.0049713,           0.0092212,           0.0092212,           0.0092212
                 103,            0.034505,            0.042285,            0.014538,             0.86861,             0.80117,              0.8889,             0.67423,            0.025522,            0.018174,           0.0049024,           0.0092063,           0.0092063,           0.0092063
                 104,            0.034957,            0.042006,            0.014575,             0.87684,             0.79699,             0.88979,             0.67498,             0.02548,            0.018156,           0.0048247,           0.0091912,           0.0091912,           0.0091912
                 105,            0.034686,            0.041851,            0.014598,             0.88501,             0.79032,             0.89034,             0.67618,            0.025422,            0.018097,           0.0047467,            0.009176,            0.009176,            0.009176
                 106,            0.034639,            0.042065,            0.013781,             0.89788,             0.79084,             0.89512,             0.68177,            0.025294,            0.017961,           0.0046425,           0.0091606,           0.0091606,           0.0091606
